"Estación","Provincia","Temperatura máxima (ºC)","Temperatura mínima (ºC)","Temperatura media (ºC)","Racha (km/h)","Velocidad máxima (km/h)","Precipitación 00-24h (mm)","Precipitación 00-06h (mm)","Precipitación 06-12h (mm)","Precipitación 12-18h (mm)","Precipitación 18-24h (mm)"
"Alforja","Tarragona","16.7 (15:10)","6.4 (06:40)","11.6","49 (11:00)","26 (05:00)","0","0","0","0","0"
"Reus Aeropuerto","Tarragona","19.8 (15:10)","-1.0 (07:20)","9.4","21 (15:20)","17 (15:30)","0","0","0","0","0"
"Valls","Tarragona","18.3 (14:40)","2.9 (22:40)","10.6","","","0","0","0","0","0"
"Tarragona","Tarragona","18.7 (15:40)","7.3 (08:10)","13","","","0","0","0","0","0"
"Pontons","Barcelona","18.5 (13:20)","1.7 (00:40)","10.1","22 (08:10)","13 (07:50)","0","0","0","0","0"
"Vilafranca del Penedès","Barcelona","19.7 (15:00)","0.7 (03:40)","10.2","17 (15:50)","10 (16:20)","0","0","0","0","0"
"Sitges","Barcelona","16.5 (14:10)","6.1 (01:10)","11.3","22 (08:00)","10 (04:50)","0","0","0","0","0"
"Barcelona Aeropuerto","Barcelona","16.9 (13:10)","5.4 (07:40)","11.1","42 (03:50)","33 (03:50)","0","0","0","0","0"
"Berga","Barcelona","16.0 (15:40)","1.1 (05:00)","8.6","17 (14:40)","10 (13:50)","0","0","0","0","0"
"Balsareny","Barcelona","17.0 (15:40)","-5.6 (06:20)","5.7","21 (17:50)","14 (17:50)","0","0","0","0","0"
"Prats de Lluçanès","Barcelona","16.9 (15:20)","-3.1 (07:30)","6.9","16 (15:50)","9 (15:50)","0","0","0","0","0"
"Moià","Barcelona","16.3 (15:00)","1.8 (07:00)","9","21 (13:50)","13 (13:30)","0","0","0","0","0"
"Manresa","Barcelona","16.9 (16:50)","-3.6 (09:00)","6.6","19 (18:10)","10 (18:40)","0","0","0","0","0"
"Monistrol de Montserrat","Barcelona","14.5 (14:30)","5.1 (07:00)","9.8","","","0","0","0","0","0"
"Igualada","Barcelona","15.7 (15:30)","-1.3 (04:30)","7.2","23 (12:50)","10 (12:50)","0","0","0","0","0"
"Corbera, Pic d'Agulles","Barcelona","16.3 (13:40)","5.4 (07:20)","10.8","","","0","0","0","0","0"
"Barcelona","Barcelona","16.4 (13:00)","7.5 (08:30)","11.9","20 (02:40)","15 (14:10)","0","0","0","0","0"
"Barcelona, Museo Marítimo","Barcelona","17.4 (16:00)","7.4 (06:40)","12.4","","","0","0","0","0","0"
"Caldes de Montbui","Barcelona","18.6 (16:00)","-2.8 (08:10)","7.9","15 (20:00)","11 (20:00)","0","0","0","0","0"
